CCN,critical_access,teaching_status,urban_rural,referral_center,ownership_type_simple,medicaid_caseload,disproportionate_percentage,charity_care_burden,uncomp_burden
141303,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0,NA,0.008374595,0.033790631
141304,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.043478261,NA,0.009179839,0.078716611
141305,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.151639344,NA,0.016310942,0.08049956
141306,Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.006299213,NA,0.02151121,0.106970712
141307,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.025454545,NA,0.013057874,0.034277947
141308,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.020833333,NA,0.004539296,0.016331834
141309,Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.073333333,NA,0,0.106325521
141310,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.013651877,NA,0.012313733,0.045099288
141311,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.006980803,NA,0.006481989,0.104046832
141312,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.008219178,NA,0.012827121,0.057331449
141313,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.078498294,NA,0.001514971,0.084673028
141315,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.012524085,NA,0.015598168,0.054921242
141316,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.047120419,NA,0.027323743,0.096185274
141317,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.008613939,NA,0.008413662,0.056559496
141318,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.02020202,NA,0.014850798,0.018530971
141319,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0,NA,0.000750129,0.045245025
141320,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.008429119,NA,0.009222954,0.143616486
141321,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0,NA,0.014529933,0.037433704
141322,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.040737148,NA,0.005463712,0.021847641
141323,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.068877551,NA,0.00020361,0.279105569
141324,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.005780347,NA,0.015234588,0.103477629
141325,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.01863354,NA,0.012270251,0.058075128
141326,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0,NA,0.001270768,0.006838596
141327,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.018817204,NA,0.00080203,0.068937212
141328,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.028469751,NA,0.004590245,0.110879392
141329,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.160493827,NA,0.00031176,0.025904691
141330,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.006578947,NA,0.00358893,0.020894952
141331,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.003861004,NA,0.004058583,0.088894645
141332,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.012,NA,0.003531583,0.033642153
141333,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.051282051,NA,6.52E-06,0.023926809
141334,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.008583691,NA,0.020251628,0.056015775
141335,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.023584906,NA,0.017543965,0.061536452
141336,Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.016016016,NA,0.011708148,0.030253226
141337,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.016611296,NA,0.007473342,0.043418817
141338,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.004484305,NA,0.002354067,0.011285044
141339,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.020460358,NA,0.004813613,0.05011606
141340,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.019047619,NA,0.025253418,0.039523968
141341,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.012244898,NA,0.000135165,0.033316359
141342,Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.00295858,NA,0.003082283,0.016917694
141343,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.023097826,NA,0.01108966,0.110590015
141344,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.049180328,NA,0,0.090294985
141345,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.002247191,NA,0.018820283,0.11362769
141346,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.008,NA,0.00815705,0.155455442
141347,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.131840796,NA,0.001051405,0.014582948
141348,Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.005044136,NA,0.001789892,0.005802839
141349,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.011764706,NA,0.002820153,0.020701573
141350,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.012012012,NA,0.010669915,0.083006735
141351,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.010498688,NA,0.0422695,0.117211757
141352,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.062293109,NA,0.002272271,0.026243928
142006,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.103932584,NA,0,0
142008,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.09141791,NA,0,0
142009,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.094736842,NA,0,0
142010,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.093980993,NA,0,0
142011,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.04377565,NA,0,0
142013,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.004291845,NA,0,0
143025,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.107677903,NA,0,0
143026,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.023491725,NA,0,0
143027,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.073680482,NA,0,0
143028,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.01934236,NA,0,0
143029,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
143030,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.008998875,NA,0,0
143031,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.013850416,NA,0,0
143032,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.013114754,NA,0,0
143300,Not Critical Access,Teaching,Urban,Referral Center,Nonprofit,0.083082305,NA,0,0
143301,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.479338843,NA,0,0
143302,NA,NA,NA,NA,Proprietary,NA,NA,NA,NA
144009,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.027149321,NA,0,-0.000200094
144010,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0,NA,0,0
144016,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0,NA,0,0
144021,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.006993007,NA,0,0
144026,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.032900035,NA,0,0
144028,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0,NA,0,0
144029,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.019756839,NA,0,0
144031,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.006973197,NA,0,0
144034,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.034627199,NA,0,0
144035,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.007741935,NA,0,0
144037,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.017278618,NA,0,0
144038,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0,NA,0,0
144039,NA,NA,NA,NA,Nonprofit,NA,NA,NA,NA
144040,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.01078722,NA,0,0
144041,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.016530612,NA,0,0
144042,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.036838066,NA,0,0
150001,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.015126958,0.2403,0.013212847,0.10757465
150002,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.035720811,0.3982,0.007209125,0.192890699
150004,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.147157191,0.2921,0.037126309,0.113201956
150005,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.018994992,0.2206,0.012537617,0.062701016
150006,Not Critical Access,Non Teaching,Urban,Referral Center,Proprietary,0.241074283,0.28615,0.007741976,0.017315497
150007,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.029296021,0.3572,0.008692287,0.016269375
150008,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.065856899,0.518,0.013082084,0.059405402
150009,Not Critical Access,Teaching,Urban,Non Referral Center,Proprietary,0.03868582,0.3977,0.009924335,0.020735653
150010,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.010909091,0.2735,0.015484992,0.086502384
150011,Not Critical Access,Non Teaching,Rural,Referral Center,Nonprofit,0.028741866,0.3383,0.021348349,0.117288865
150012,Not Critical Access,Teaching,Rural,Non Referral Center,Nonprofit,0.026276276,0.2787,0.012105991,0.025970957
150015,Not Critical Access,Non Teaching,Rural,Referral Center,Nonprofit,0.201340238,0.2638,0.032778253,0.036256799
150017,Not Critical Access,Teaching,Urban,Non Referral Center,Proprietary,0.21289113,0.2723,0.009529677,0.012726833
150018,Not Critical Access,Non Teaching,Urban,Referral Center,Nonprofit,0.038946625,0.2677,0.010846997,0.054371158
150021,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.020108206,0.3173,0.006461487,0.028047907
150022,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.088794926,0.1211,0.151498393,0.210064374
150023,Not Critical Access,Teaching,Urban,Referral Center,Nonprofit,0.005145321,0.2911,0.00461069,0.052639585
150024,Not Critical Access,Teaching,Rural,Non Referral Center,Governmental,0.18259218,0.713,0.041385071,0.067664238
150026,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.03363576,0.2147,0.008172531,0.022681729
150030,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.018807339,0.2268,0.011924741,0.124130288
150034,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.018423884,0.1987,0.005764854,0.067274628
150035,Not Critical Access,Non Teaching,Rural,Referral Center,Proprietary,0.156655844,0.2237,0.007092056,0.012863227
150037,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.010709505,0.1934,0.007217337,0.0564127
150042,Not Critical Access,Teaching,Rural,Referral Center,Governmental,0.012884044,0.2302,0.006696369,0.05159054
150044,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.072529755,0.1989,0.005486388,0.023085319
150045,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.01511879,0.24885,0.012321733,0.054048923
150046,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.049818371,0.3042,0.036836557,0.095009391
150047,Not Critical Access,Teaching,Urban,Non Referral Center,Proprietary,0.413114754,0.5846,0.019177375,0.11380143
150048,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.022429389,0.2929,0.009146862,0.045345498
150051,Not Critical Access,Non Teaching,Urban,Referral Center,Nonprofit,0.022611164,0.3424,0.012419979,0.055442133
150056,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.053690571,0.5086,0.0102745,0.056306877
150057,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.005762411,0.2308,0.050928696,0.077499597
150058,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.029912326,0.4335,0.007309713,0.01812701
150059,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.016708629,0.2091,0.010757195,0.074034736
150061,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.24529991,0.3321,0.001607628,0.168536574
150065,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.204653371,0.3713,0.005736112,0.03272692
150069,Not Critical Access,Non Teaching,Rural,Referral Center,Nonprofit,0.168457031,0.2773,0.004664804,0.044553677
150072,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.044241573,0.3661,0.007790965,0.116248868
150074,Not Critical Access,Teaching,Urban,Referral Center,Nonprofit,0.061385277,0.521,0.008583994,0.02273861
150075,Not Critical Access,Non Teaching,Urban,Referral Center,Proprietary,0.211321968,0.254233333,0.004524544,0.010374996
150076,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.0085531,0.2507,0.012892849,0.030193992
150082,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.040090975,0.254733333,0.008527437,0.047037043
150084,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.046154407,0.3885,0.015343501,0.057670331
150086,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.045181545,0.19895,0.010159113,0.070532742
150088,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.041914978,0.3883,0.021048115,0.030181036
150089,Not Critical Access,Teaching,Urban,Referral Center,Nonprofit,0.032229907,0.32525,0.018085532,0.031614141
150090,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.239348608,0.2822,0.0288221,0.063809667
150091,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.016644909,0.29835,0.027392392,0.061484295
150097,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.021955261,0.2736,0.01145887,0.114104154
150100,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.016978795,0.3211,0.013424484,0.065594094
150101,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.016550297,0.2383,0.022404618,0.05114263
150102,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.1375,0.1437,0.009117095,0.069729453
150104,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.018735363,0.2362,0.00595079,0.0858126
150109,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.201989364,0.30355,0.027757567,0.034191995
150112,Not Critical Access,Non Teaching,Urban,Referral Center,Governmental,0.214422362,0.29655,0.023211663,0.089393109
150113,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.028987993,0.2918,0.00968849,0.024972183
150115,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.067255957,0.2062,0.007904418,0.017426733
150125,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.013672239,0.2153,0.006336482,0.070276399
150126,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.14721301,0.185,0.026595669,0.031513631
150128,Not Critical Access,Teaching,Urban,Referral Center,Nonprofit,0.029300918,0.28425,0.013453619,0.057934044
150133,Not Critical Access,Non Teaching,Rural,Referral Center,Proprietary,0.149643053,0.2269,0.009377834,0.014735615
150146,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.013418903,0.2567,0.034974793,0.055021184
150149,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.074145535,0.5704,0.004088264,0.043771966
150150,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.247736807,0.456,0.005502367,0.008195826
150153,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.015295481,0.0812,0.010485035,0.045647561
150157,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.0065,0.1956,0.014567294,0.099487317
150158,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.023693021,0.2183,0.019036522,0.084269719
150160,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.021231423,NA,0.003233668,0.014220859
150161,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.009546074,0.2709,0.009888963,0.070624397
150162,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.026962286,0.2662,0.036458982,0.102149795
150165,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.099057873,0.2199,0.030280663,0.063174368
150166,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.004559271,NA,0.000130239,0.017172565
150167,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.00304414,NA,0.005489471,0.032911952
150168,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.07826087,NA,0.002681093,0.004028673
150169,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.024197837,0.39135,0.010735606,0.075457535
150172,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.153314917,0.1643,0,0.008733437
150173,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.015371901,0.2649,0.017808613,0.082040169
150177,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.105263158,NA,0.000669153,0.0226914
150179,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.000951475,0.7803,0.004297412,0.082127524
150181,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.051140834,0.1943,0.020408906,0.104076908
150183,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.018691589,0.2013,0.000452596,0.096664213
150191,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.081632653,NA,0.026859751,0.039442252
150193,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0,NA,0.00054081,0.000555238
151300,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.196721311,NA,0.003008396,0.076010561
151301,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.053658537,NA,0.061990215,0.084511372
151302,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.006880734,NA,0.01054119,0.109320152
151303,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.053333333,NA,0.071363276,0.103156796
151304,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.011349306,NA,0.0014733,0.128103634
151305,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.005905512,NA,0.001915397,0.051769937
151306,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.020942408,NA,0.020684738,0.096169948
151307,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.024509804,NA,0.031626458,0.195064072
151308,Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.034220532,NA,0.037560943,0.227267022
151309,Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.042424242,NA,0.033026703,0.225735916
151310,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.021237304,NA,0.027110238,0.134978743
151311,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.001557632,NA,0.015120229,0.12732407
151312,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.005008347,NA,0.020370023,0.125149333
151313,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.02640264,NA,0.004560935,0.158499261
151314,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.03125,NA,0.039486754,0.202142074
151315,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.017995656,NA,0.000467994,0.033343024
151316,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.009615385,NA,0.028801123,0.193591605
151317,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.073691015,NA,0.001756315,0.166308707
151318,Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.028604119,NA,0.011060129,0.100116802
151319,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.023316062,NA,0.007879247,0.029619487
151320,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.01,NA,0.021204018,0.168352608
151322,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.011605416,NA,0.00390191,0.059903963
151323,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.016477858,NA,0.034425412,0.079674497
151324,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.00877193,NA,0.025687678,0.123577699
151325,Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.044444444,NA,0.023722947,0.206855766
151326,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.009695291,NA,0.011417524,0.284293112
151327,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.020930233,NA,0.014055491,0.124017751
151328,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.029429798,NA,0.019459638,0.086908945
151329,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.005542359,NA,0.007166492,0.049040841
151330,Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0,NA,0.001664314,0.124365044
151331,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.022916667,NA,0.020758696,0.114740765
151332,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.209483794,NA,0.007604205,0.133009058
151333,Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.019672131,NA,0.003850128,0.091233867
151334,Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.034883721,NA,0.009261489,0.03791535
151335,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.064705882,NA,0.014491286,0.100072283
152007,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.003717472,NA,0,0
152013,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
152014,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.010357815,NA,0,0
152020,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0,NA,0,0
152024,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
152025,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
152028,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
153025,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.007389163,NA,0,0
153028,Not Critical Access,Teaching,Urban,Non Referral Center,Proprietary,0.029475198,NA,0,0
153030,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.065395991,NA,0,0
153037,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.004010695,NA,0,0
153042,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.004854369,NA,0,0
153043,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.004984424,NA,0,-1.77E-05
153044,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.002970297,NA,0,-0.000151047
153045,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.003382187,NA,0,0
153046,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
153047,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.001848429,NA,0,0
153048,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.005372218,NA,0,0
153049,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.013363029,NA,0,0
154005,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.0625,NA,0,0
154008,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.296416938,NA,0,0
154009,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.084883721,NA,0,0
154011,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.050583658,NA,0,0
154014,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.055354994,NA,0,0
154018,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.039408867,NA,0,0
154019,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.285714286,NA,0,0
154020,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.050632911,NA,0,0
154021,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.064655172,NA,0,0
154024,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.098291721,NA,0,0
154031,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.096330275,NA,0,0
154035,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.129186603,NA,0,0
154041,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.121707901,NA,0,0
154047,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.064966606,NA,0,0
154050,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.098880597,NA,0,0
154051,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.085080784,NA,0,0
154052,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.058536585,NA,0,0
154054,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.161586639,NA,0,0
154055,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.042196532,NA,0,0
154056,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.139534884,NA,0,0
154057,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.094070017,NA,0,0
154058,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.01993865,NA,0,0
154059,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.068876453,NA,0,0
154060,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.098360656,NA,0,0
154061,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.026706231,NA,0,0
154063,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.128742515,NA,0,0
154064,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.039312039,NA,0,0
154065,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.052228412,NA,0,0
154066,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
154067,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.060153257,NA,0,0
154068,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.021428571,NA,0,0
160001,Not Critical Access,Non Teaching,Rural,Referral Center,Nonprofit,0.125295508,0.146,0.010385337,0.09377621
160005,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.006526468,0.3589,0.010824385,0.042690785
160008,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.007407407,0.0957,0.000704455,0.220062211
160013,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.028635598,0.1786,0.010426185,0.086062162
160016,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.015929503,0.2868,0.009100466,0.015709877
160028,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.010195759,0.458,0.020467755,0.120258438
160029,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.051147127,0.1899,0.003809876,0.050012712
160030,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.012401087,0.1919,0.006669965,0.018972592
