CCN,critical_access,teaching_status,urban_rural,referral_center,num_beds,type_of_service,state_code,ownership_type_simple,bed_size_simple
443034,Not Critical Access,Non Teaching,Urban,Non Referral Center,53,Rehabilitation,TN,Proprietary,Small
443037,Not Critical Access,Non Teaching,Urban,Non Referral Center,57,Rehabilitation,TN,Proprietary,Small
450039,Not Critical Access,Teaching,Urban,Non Referral Center,434,General Short Term,TX,Governmental,Large
451377,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
490090,Not Critical Access,Non Teaching,Rural,Non Referral Center,80,General Short Term,VA,Nonprofit,Small
510006,Not Critical Access,Teaching,Rural,Referral Center,232,General Short Term,WV,Nonprofit,Medium
510072,Not Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,WV,Governmental,Small
520102,Not Critical Access,Teaching,Rural,Non Referral Center,62,General Short Term,WI,Nonprofit,Small
520113,Not Critical Access,Non Teaching,Rural,Non Referral Center,55,General Short Term,WI,Nonprofit,Small
520138,Not Critical Access,Teaching,Rural,Referral Center,938,General Short Term,WI,Nonprofit,Large
520139,Not Critical Access,Teaching,Urban,Non Referral Center,202,General Short Term,WI,Nonprofit,Medium
521304,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,WI,Nonprofit,Small
521342,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
521344,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,WI,Nonprofit,Small
670069,Not Critical Access,Non Teaching,Urban,Non Referral Center,23,General Short Term,NA,Proprietary,Small
670115,Not Critical Access,Non Teaching,Urban,Non Referral Center,16,General Short Term,NA,Proprietary,Small
10049,Not Critical Access,Non Teaching,Rural,Non Referral Center,99,General Short Term,TN,Proprietary,Small
30002,Not Critical Access,Teaching,Rural,Non Referral Center,656,General Short Term,AZ,Nonprofit,Large
32000,Not Critical Access,Non Teaching,Urban,Non Referral Center,58,General Long Term,PA,Proprietary,Small
40147,Not Critical Access,Non Teaching,Urban,Non Referral Center,47,General Short Term,NA,Proprietary,Small
50230,Not Critical Access,Non Teaching,Urban,Non Referral Center,167,General Short Term,CA,Proprietary,Medium
61323,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
63303,Not Critical Access,Non Teaching,Urban,Non Referral Center,124,Children,CO,Nonprofit,Small
100131,Not Critical Access,Teaching,Urban,Non Referral Center,437,General Short Term,TN,Proprietary,Large
110079,Not Critical Access,Teaching,Urban,Non Referral Center,694,General Short Term,NA,Governmental,Large
111314,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Proprietary,Small
113300,Not Critical Access,Teaching,Urban,Non Referral Center,330,Children,NA,Nonprofit,Medium
151335,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IN,Nonprofit,Small
160082,Not Critical Access,Teaching,Rural,Referral Center,576,General Short Term,IA,Nonprofit,Large
171363,Critical Access,Non Teaching,Rural,Non Referral Center,23,General Short Term,NA,Nonprofit,Small
173025,Not Critical Access,Non Teaching,Urban,Non Referral Center,57,Rehabilitation,AL,Proprietary,Small
173026,Not Critical Access,Non Teaching,Urban,Non Referral Center,98,Rehabilitation,AL,Proprietary,Small
230269,Not Critical Access,Teaching,Rural,Referral Center,484,General Short Term,MI,Nonprofit,Large
231338,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,MI,Nonprofit,Small
231339,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,MI,Nonprofit,Small
260105,Not Critical Access,Teaching,Urban,Non Referral Center,317,General Short Term,MO,Nonprofit,Medium
260216,Not Critical Access,Non Teaching,Urban,Non Referral Center,216,General Short Term,MO,Nonprofit,Medium
280125,Not Critical Access,Non Teaching,Rural,Referral Center,122,General Short Term,NA,Nonprofit,Small
313032,Not Critical Access,Non Teaching,Urban,Non Referral Center,61,Rehabilitation,PA,Proprietary,Small
330215,Not Critical Access,Non Teaching,Rural,Non Referral Center,79,General Short Term,NA,Nonprofit,Small
330259,Not Critical Access,Teaching,Urban,Non Referral Center,299,General Short Term,NY,Nonprofit,Medium
330410,Not Critical Access,Non Teaching,Urban,Non Referral Center,56,General Short Term,NA,Nonprofit,Small
360040,Not Critical Access,Non Teaching,Rural,Non Referral Center,64,General Short Term,NA,Nonprofit,Small
360051,Not Critical Access,Teaching,Rural,Referral Center,901,General Short Term,OH,Nonprofit,Large
370192,Not Critical Access,Non Teaching,Urban,Non Referral Center,9,General Short Term,OK,Proprietary,Small
370206,Not Critical Access,Non Teaching,Urban,Non Referral Center,23,General Short Term,NA,Proprietary,Small
421301,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
450289,Not Critical Access,Teaching,Urban,Non Referral Center,576,General Short Term,NA,Governmental,Large
451312,Critical Access,Non Teaching,Rural,Non Referral Center,21,General Short Term,TX,Governmental,Small
451374,Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,TX,Nonprofit,Small
451384,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
452094,Not Critical Access,Non Teaching,Urban,Non Referral Center,33,General Long Term,PA,Proprietary,Small
452105,Not Critical Access,Non Teaching,Urban,Non Referral Center,25,General Long Term,TX,Nonprofit,Small
453048,Not Critical Access,Non Teaching,Urban,Non Referral Center,61,Rehabilitation,PA,Proprietary,Small
460014,Not Critical Access,Non Teaching,Urban,Non Referral Center,36,General Short Term,TN,Proprietary,Small
492010,Not Critical Access,Non Teaching,Urban,Non Referral Center,36,General Long Term,VA,Nonprofit,Small
520028,Not Critical Access,Teaching,Urban,Non Referral Center,58,General Short Term,MO,Nonprofit,Small
520038,Not Critical Access,Non Teaching,Rural,Non Referral Center,35,General Short Term,WI,Nonprofit,Small
520070,Not Critical Access,Teaching,Rural,Referral Center,186,General Short Term,WI,Nonprofit,Medium
520083,Not Critical Access,Teaching,Urban,Non Referral Center,354,General Short Term,MO,Nonprofit,Medium
520089,Not Critical Access,Teaching,Urban,Non Referral Center,332,General Short Term,WI,Nonprofit,Medium
520207,Not Critical Access,Teaching,Urban,Non Referral Center,132,General Short Term,WI,Nonprofit,Small
670073,Not Critical Access,Non Teaching,Urban,Non Referral Center,32,General Short Term,NA,Proprietary,Small
50180,Not Critical Access,Teaching,Urban,Non Referral Center,506,General Short Term,CA,Nonprofit,Large
54131,Not Critical Access,Non Teaching,Urban,Non Referral Center,73,Psychiatric,CA,Nonprofit,Small
60076,Not Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,AZ,Nonprofit,Small
61302,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
61313,Critical Access,Non Teaching,Rural,Non Referral Center,19,General Short Term,NA,Governmental,Small
61316,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Governmental,Small
63033,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,Rehabilitation,TX,Proprietary,Small
63037,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,Rehabilitation,PA,Proprietary,Small
84002,Not Critical Access,Non Teaching,Urban,Non Referral Center,148,Psychiatric,PA,Proprietary,Small
84004,Not Critical Access,Non Teaching,Urban,Non Referral Center,104,Psychiatric,PA,Proprietary,Small
100034,Not Critical Access,Teaching,Rural,Non Referral Center,481,General Short Term,NA,Nonprofit,Large
100072,Not Critical Access,Non Teaching,Rural,Referral Center,257,General Short Term,FL,Nonprofit,Medium
100109,Not Critical Access,Teaching,Rural,Referral Center,204,General Short Term,FL,Nonprofit,Medium
100128,Not Critical Access,Teaching,Rural,Referral Center,898,General Short Term,NA,Nonprofit,Large
101303,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Proprietary,Small
103048,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,Rehabilitation,AL,Proprietary,Small
103053,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,Rehabilitation,AL,Proprietary,Small
140289,Not Critical Access,Non Teaching,Urban,Non Referral Center,120,General Short Term,IL,Nonprofit,Small
141306,Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,IL,Nonprofit,Small
150042,Not Critical Access,Teaching,Rural,Referral Center,99,General Short Term,NA,Governmental,Small
150048,Not Critical Access,Teaching,Rural,Referral Center,183,General Short Term,IN,Nonprofit,Medium
150059,Not Critical Access,Non Teaching,Urban,Non Referral Center,121,General Short Term,NA,Governmental,Small
150158,Not Critical Access,Non Teaching,Urban,Non Referral Center,174,General Short Term,IN,Nonprofit,Medium
150161,Not Critical Access,Non Teaching,Urban,Non Referral Center,153,General Short Term,IN,Nonprofit,Medium
150167,Not Critical Access,Non Teaching,Urban,Non Referral Center,37,General Short Term,IN,Proprietary,Small
151322,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
154058,Not Critical Access,Non Teaching,Rural,Non Referral Center,37,Psychiatric,IN,Proprietary,Small
154061,Not Critical Access,Non Teaching,Urban,Non Referral Center,36,Psychiatric,IN,Proprietary,Small
160117,Not Critical Access,Non Teaching,Urban,Non Referral Center,66,General Short Term,IA,Nonprofit,Small
160146,Not Critical Access,Teaching,Rural,Referral Center,173,General Short Term,IA,Nonprofit,Medium
190303,Not Critical Access,Non Teaching,Urban,Non Referral Center,30,General Short Term,NA,Proprietary,Small
194022,Not Critical Access,Non Teaching,Urban,Non Referral Center,139,Psychiatric,TN,Proprietary,Small
210016,Not Critical Access,Non Teaching,Urban,Non Referral Center,196,General Short Term,MD,Nonprofit,Medium
210057,Not Critical Access,Non Teaching,Urban,Non Referral Center,381,General Short Term,MD,Nonprofit,Medium
210060,Not Critical Access,Non Teaching,Urban,Non Referral Center,30,General Short Term,MD,Nonprofit,Small
230017,Not Critical Access,Teaching,Rural,Referral Center,439,General Short Term,MI,Nonprofit,Large
230024,Not Critical Access,Teaching,Rural,Referral Center,281,General Short Term,TX,Proprietary,Medium
260011,Not Critical Access,Non Teaching,Urban,Non Referral Center,167,General Short Term,MO,Nonprofit,Medium
290001,Not Critical Access,Teaching,Urban,Non Referral Center,558,General Short Term,NV,Nonprofit,Large
290021,Not Critical Access,Teaching,Urban,Non Referral Center,297,General Short Term,PA,Proprietary,Medium
313300,Not Critical Access,Teaching,Urban,Non Referral Center,68,Children,NJ,Nonprofit,Small
313302,Not Critical Access,Non Teaching,Urban,Non Referral Center,18,Children,FL,Proprietary,Small
314024,Not Critical Access,Non Teaching,Urban,Non Referral Center,84,Psychiatric,NA,Governmental,Small
330058,Not Critical Access,Non Teaching,Urban,Non Referral Center,117,General Short Term,NA,Nonprofit,Small
331317,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
370037,Not Critical Access,Teaching,Urban,Non Referral Center,430,General Short Term,MO,Nonprofit,Large
381302,Critical Access,Non Teaching,Rural,Non Referral Center,16,General Short Term,OR,Nonprofit,Small
393054,Not Critical Access,Non Teaching,Urban,Non Referral Center,59,Rehabilitation,TN,Proprietary,Small
400007,Not Critical Access,Non Teaching,Urban,Non Referral Center,165,General Short Term,NA,Nonprofit,Medium
400022,Not Critical Access,Teaching,Urban,Non Referral Center,128,General Short Term,NA,Nonprofit,Small
404005,Not Critical Access,Non Teaching,Urban,Non Referral Center,165,Psychiatric,TN,Proprietary,Medium
430089,Not Critical Access,Non Teaching,Urban,Non Referral Center,38,General Short Term,NA,Proprietary,Small
431307,Critical Access,Non Teaching,Rural,Non Referral Center,10,General Short Term,SD,Nonprofit,Small
440125,Not Critical Access,Non Teaching,Rural,Referral Center,304,General Short Term,TN,Nonprofit,Medium
440218,Not Critical Access,Non Teaching,Urban,Non Referral Center,23,General Short Term,NA,Proprietary,Small
444026,Not Critical Access,Non Teaching,Urban,Non Referral Center,96,Psychiatric,TN,Proprietary,Small
450231,Not Critical Access,Teaching,Rural,Referral Center,357,General Short Term,TN,Proprietary,Medium
451317,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Governmental,Small
451349,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Governmental,Small
451370,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,PA,Governmental,Small
451397,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,TX,Nonprofit,Small
452062,Not Critical Access,Non Teaching,Urban,Non Referral Center,29,General Long Term,PA,Proprietary,Small
453091,Not Critical Access,Non Teaching,Urban,Non Referral Center,32,Rehabilitation,TX,Proprietary,Small
454018,Not Critical Access,Non Teaching,Urban,Non Referral Center,96,Psychiatric,TN,Proprietary,Small
454118,Not Critical Access,Non Teaching,Urban,Non Referral Center,24,Psychiatric,NA,Proprietary,Small
454133,Not Critical Access,Non Teaching,Urban,Non Referral Center,90,Psychiatric,TN,Proprietary,Small
460044,Not Critical Access,Non Teaching,Urban,Non Referral Center,57,General Short Term,UT,Nonprofit,Small
503026,Not Critical Access,Non Teaching,Urban,Non Referral Center,60,Rehabilitation,TN,Proprietary,Small
511320,Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,WV,Nonprofit,Small
521321,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,MO,Nonprofit,Small
521327,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,MO,Nonprofit,Small
670136,Not Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,TX,Nonprofit,Small
673053,Not Critical Access,Non Teaching,Urban,Non Referral Center,35,Rehabilitation,TX,Proprietary,Small
50078,Not Critical Access,Non Teaching,Urban,Non Referral Center,96,General Short Term,WA,Nonprofit,Small
61301,Critical Access,Non Teaching,Rural,Non Referral Center,17,General Short Term,NA,Nonprofit,Small
92003,Not Critical Access,Non Teaching,Urban,Non Referral Center,82,General Long Term,DC,Proprietary,Small
100275,Not Critical Access,Teaching,Urban,Non Referral Center,235,General Short Term,PA,Proprietary,Medium
110209,Not Critical Access,Non Teaching,Rural,Non Referral Center,53,General Short Term,PA,Proprietary,Small
131325,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
140280,Not Critical Access,Non Teaching,Rural,Referral Center,249,General Short Term,IL,Nonprofit,Medium
141320,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
153044,Not Critical Access,Non Teaching,Urban,Non Referral Center,44,Rehabilitation,TN,Proprietary,Small
170137,Not Critical Access,Non Teaching,Rural,Non Referral Center,110,General Short Term,NA,Governmental,Small
171312,Critical Access,Non Teaching,Rural,Non Referral Center,12,General Short Term,NA,Governmental,Small
171380,Critical Access,Non Teaching,Rural,Non Referral Center,21,General Short Term,NA,Governmental,Small
180132,Not Critical Access,Teaching,Rural,Referral Center,179,General Short Term,TN,Proprietary,Medium
190060,Not Critical Access,Teaching,Rural,Non Referral Center,254,General Short Term,NA,Nonprofit,Medium
224023,Not Critical Access,Non Teaching,Urban,Non Referral Center,120,Psychiatric,PA,Proprietary,Small
224045,Not Critical Access,Non Teaching,Urban,Non Referral Center,120,Psychiatric,NA,Proprietary,Small
240047,Not Critical Access,Teaching,Rural,Referral Center,238,General Short Term,MN,Nonprofit,Medium
240080,Not Critical Access,Teaching,Urban,Non Referral Center,634,General Short Term,MN,Nonprofit,Large
241337,Critical Access,Non Teaching,Rural,Non Referral Center,12,General Short Term,NA,Nonprofit,Small
241381,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,SD,Nonprofit,Small
242004,Not Critical Access,Non Teaching,Urban,Non Referral Center,24,General Long Term,MN,Nonprofit,Small
281355,Critical Access,Non Teaching,Rural,Non Referral Center,18,General Short Term,AZ,Nonprofit,Small
310016,Not Critical Access,Teaching,Urban,Non Referral Center,163,General Short Term,NJ,Proprietary,Medium
310032,Not Critical Access,Teaching,Urban,Non Referral Center,280,General Short Term,NA,Nonprofit,Medium
310034,Not Critical Access,Non Teaching,Urban,Non Referral Center,267,General Short Term,NJ,Nonprofit,Medium
310052,Not Critical Access,Teaching,Urban,Non Referral Center,329,General Short Term,NJ,Nonprofit,Medium
310084,Not Critical Access,Non Teaching,Urban,Non Referral Center,201,General Short Term,NJ,Nonprofit,Medium
310113,Not Critical Access,Non Teaching,Urban,Non Referral Center,147,General Short Term,NJ,Nonprofit,Small
314022,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,Psychiatric,NJ,Nonprofit,Small
330024,Not Critical Access,Teaching,Urban,Non Referral Center,1085,General Short Term,NA,Nonprofit,Large
330103,Not Critical Access,Teaching,Rural,Referral Center,202,General Short Term,NA,Nonprofit,Medium
330267,Not Critical Access,Non Teaching,Urban,Non Referral Center,128,General Short Term,NA,Nonprofit,Small
331301,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Nonprofit,Small
331310,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
334048,Not Critical Access,Non Teaching,Urban,Non Referral Center,140,Psychiatric,NA,Nonprofit,Small
344014,Not Critical Access,Non Teaching,Urban,Non Referral Center,296,Psychiatric,PA,Proprietary,Medium
380037,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,General Short Term,WA,Nonprofit,Small
422007,Not Critical Access,Non Teaching,Urban,Non Referral Center,44,General Long Term,PA,Proprietary,Small
440001,Not Critical Access,Non Teaching,Urban,Non Referral Center,8,General Short Term,TN,Nonprofit,Small
440081,Not Critical Access,Non Teaching,Rural,Non Referral Center,60,General Short Term,TN,Nonprofit,Small
444025,Not Critical Access,Non Teaching,Urban,Non Referral Center,80,Psychiatric,TN,Proprietary,Small
490075,Not Critical Access,Teaching,Rural,Referral Center,232,General Short Term,TN,Proprietary,Medium
511315,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,WV,Nonprofit,Small
511319,Critical Access,Teaching,Rural,Non Referral Center,25,General Short Term,WV,Nonprofit,Small
520088,Not Critical Access,Non Teaching,Urban,Non Referral Center,77,General Short Term,NA,Nonprofit,Small
531307,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,AZ,Nonprofit,Small
673069,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,Rehabilitation,PA,Proprietary,Small
30108,Not Critical Access,Non Teaching,Urban,Non Referral Center,28,General Short Term,NA,Proprietary,Small
31315,Critical Access,Non Teaching,Rural,Non Referral Center,21,General Short Term,NA,Governmental,Small
33302,Not Critical Access,Teaching,Urban,Non Referral Center,352,Children,NA,Nonprofit,Medium
40163,Not Critical Access,Non Teaching,Rural,Non Referral Center,24,General Short Term,AR,Nonprofit,Small
50204,Not Critical Access,Non Teaching,Urban,Non Referral Center,157,General Short Term,PA,Proprietary,Medium
50580,Not Critical Access,Non Teaching,Urban,Non Referral Center,115,General Short Term,CA,Nonprofit,Small
50709,Not Critical Access,Non Teaching,Urban,Non Referral Center,138,General Short Term,CA,Proprietary,Small
50764,Not Critical Access,Non Teaching,Urban,Non Referral Center,205,General Short Term,CA,Proprietary,Medium
51310,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,CA,Nonprofit,Small
51323,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
51325,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,CA,Nonprofit,Small
61310,Critical Access,Non Teaching,Rural,Non Referral Center,9,General Short Term,NA,Governmental,Small
90001,Not Critical Access,Teaching,Urban,Non Referral Center,339,General Short Term,PA,Proprietary,Medium
100035,Not Critical Access,Teaching,Urban,Non Referral Center,295,General Short Term,PA,Proprietary,Medium
110189,Not Critical Access,Non Teaching,Rural,Non Referral Center,50,General Short Term,TN,Proprietary,Small
151311,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IN,Nonprofit,Small
151320,Critical Access,Non Teaching,Rural,Non Referral Center,21,General Short Term,IN,Nonprofit,Small
151323,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IN,Nonprofit,Small
161367,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
192048,Not Critical Access,Non Teaching,Urban,Non Referral Center,31,General Long Term,PA,Proprietary,Small
193031,Not Critical Access,Non Teaching,Urban,Non Referral Center,47,Rehabilitation,AL,Proprietary,Small
194088,Not Critical Access,Non Teaching,Urban,Non Referral Center,32,Psychiatric,NA,Proprietary,Small
194114,Not Critical Access,Non Teaching,Urban,Non Referral Center,104,Psychiatric,TN,Proprietary,Small
200001,Not Critical Access,Non Teaching,Rural,Non Referral Center,99,General Short Term,MA,Nonprofit,Small
200034,Not Critical Access,Non Teaching,Urban,Non Referral Center,140,General Short Term,ME,Nonprofit,Small
224018,Not Critical Access,Non Teaching,Urban,Non Referral Center,64,Psychiatric,PA,Proprietary,Small
240100,Not Critical Access,Non Teaching,Rural,Referral Center,94,General Short Term,SD,Nonprofit,Small
270014,Not Critical Access,Teaching,Urban,Referral Center,206,General Short Term,WA,Nonprofit,Medium
280131,Not Critical Access,Non Teaching,Urban,Non Referral Center,19,General Short Term,NA,Proprietary,Small
310040,Not Critical Access,Teaching,Urban,Non Referral Center,114,General Short Term,NJ,Proprietary,Small
310051,Not Critical Access,Teaching,Urban,Non Referral Center,440,General Short Term,NJ,Nonprofit,Large
310070,Not Critical Access,Teaching,Urban,Non Referral Center,352,General Short Term,NJ,Nonprofit,Medium
310073,Not Critical Access,Teaching,Urban,Non Referral Center,604,General Short Term,NJ,Nonprofit,Large
310074,Not Critical Access,Teaching,Urban,Non Referral Center,289,General Short Term,NJ,Nonprofit,Medium
310108,Not Critical Access,Teaching,Urban,Non Referral Center,351,General Short Term,NJ,Nonprofit,Medium
310115,Not Critical Access,Non Teaching,Urban,Non Referral Center,95,General Short Term,NJ,Nonprofit,Small
314012,Not Critical Access,Non Teaching,Urban,Non Referral Center,232,Psychiatric,NJ,Nonprofit,Medium
330101,Not Critical Access,Teaching,Rural,Referral Center,2850,General Short Term,NA,Nonprofit,Large
330184,Not Critical Access,Teaching,Rural,Referral Center,141,General Short Term,NY,Nonprofit,Small
330198,Not Critical Access,Teaching,Urban,Non Referral Center,312,General Short Term,NA,Nonprofit,Medium
330264,Not Critical Access,Teaching,Rural,Non Referral Center,193,General Short Term,NY,Nonprofit,Medium
330394,Not Critical Access,Teaching,Rural,Referral Center,394,General Short Term,NA,Nonprofit,Medium
334027,Not Critical Access,Non Teaching,Urban,Non Referral Center,202,Psychiatric,NA,Nonprofit,Medium
350063,Not Critical Access,Non Teaching,Rural,Non Referral Center,27,General Short Term,SD,Governmental,Small
360025,Not Critical Access,Teaching,Rural,Referral Center,146,General Short Term,NA,Nonprofit,Small
360036,Not Critical Access,Non Teaching,Rural,Referral Center,104,General Short Term,NA,Governmental,Small
360039,Not Critical Access,Non Teaching,Rural,Referral Center,282,General Short Term,WI,Nonprofit,Medium
360044,Not Critical Access,Non Teaching,Rural,Non Referral Center,43,General Short Term,NA,Nonprofit,Small
360055,Not Critical Access,Teaching,Urban,Non Referral Center,197,General Short Term,MA,Proprietary,Medium
360059,Not Critical Access,Teaching,Urban,Non Referral Center,580,General Short Term,NA,Governmental,Large
360071,Not Critical Access,Non Teaching,Rural,Non Referral Center,34,General Short Term,NA,Nonprofit,Small
360072,Not Critical Access,Teaching,Urban,Non Referral Center,185,General Short Term,NA,Nonprofit,Medium
360076,Not Critical Access,Non Teaching,Urban,Non Referral Center,246,General Short Term,OH,Nonprofit,Medium
360084,Not Critical Access,Teaching,Rural,Non Referral Center,365,General Short Term,OH,Nonprofit,Medium
360095,Not Critical Access,Non Teaching,Rural,Referral Center,152,General Short Term,OH,Nonprofit,Medium
360174,Not Critical Access,Non Teaching,Urban,Non Referral Center,142,General Short Term,OH,Nonprofit,Small
360218,Not Critical Access,Non Teaching,Urban,Non Referral Center,219,General Short Term,NA,Nonprofit,Medium
361307,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,OH,Nonprofit,Small
361308,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,OH,Nonprofit,Small
361314,Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
361331,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,OH,Nonprofit,Small
361334,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,OH,Nonprofit,Small
362036,Not Critical Access,Non Teaching,Urban,Non Referral Center,45,General Long Term,PA,Proprietary,Small
363036,Not Critical Access,Teaching,Urban,Non Referral Center,50,Rehabilitation,TN,Proprietary,Small
363303,Not Critical Access,Teaching,Urban,Non Referral Center,601,Children,NA,Nonprofit,Large
370026,Not Critical Access,Non Teaching,Urban,Non Referral Center,142,General Short Term,PA,Proprietary,Small
380014,Not Critical Access,Teaching,Rural,Referral Center,169,General Short Term,OR,Nonprofit,Medium
381323,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,OR,Nonprofit,Small
390081,Not Critical Access,Teaching,Urban,Non Referral Center,45,General Short Term,CA,Proprietary,Small
394008,Not Critical Access,Teaching,Urban,Non Referral Center,192,Psychiatric,PA,Proprietary,Medium
400134,NA,NA,NA,NA,NA,General Short Term,NA,Nonprofit,NA
420082,Not Critical Access,Teaching,Urban,Non Referral Center,211,General Short Term,PA,Proprietary,Medium
454141,Not Critical Access,Non Teaching,Urban,Non Referral Center,94,Psychiatric,TN,Proprietary,Small
490021,Not Critical Access,Teaching,Rural,Non Referral Center,452,General Short Term,VA,Nonprofit,Large
500053,Not Critical Access,Teaching,Urban,Non Referral Center,111,General Short Term,TN,Proprietary,Small
513025,Not Critical Access,Non Teaching,Urban,Non Referral Center,22,Rehabilitation,PA,Proprietary,Small
520193,Not Critical Access,Non Teaching,Urban,Non Referral Center,190,General Short Term,WI,Proprietary,Medium
521319,Critical Access,Non Teaching,Rural,Non Referral Center,16,General Short Term,NA,Nonprofit,Small
524000,Not Critical Access,Teaching,Urban,Non Referral Center,89,Psychiatric,WI,Nonprofit,Small
524017,Not Critical Access,Teaching,Urban,Non Referral Center,16,Psychiatric,NA,Governmental,Small
670309,Not Critical Access,Non Teaching,Urban,Non Referral Center,59,General Short Term,FL,Nonprofit,Small
673025,Not Critical Access,Non Teaching,Urban,Non Referral Center,56,Rehabilitation,PA,Proprietary,Small
673027,Not Critical Access,Non Teaching,Urban,Non Referral Center,50,Rehabilitation,TN,Proprietary,Small
673056,Not Critical Access,Non Teaching,Urban,Non Referral Center,26,Rehabilitation,PA,Proprietary,Small
673068,Not Critical Access,Non Teaching,Urban,Non Referral Center,41,Rehabilitation,PA,Proprietary,Small
10144,Not Critical Access,Non Teaching,Urban,Non Referral Center,179,General Short Term,AL,Proprietary,Medium
30134,Not Critical Access,Non Teaching,Urban,Non Referral Center,20,General Short Term,AZ,Nonprofit,Small
50024,Not Critical Access,Non Teaching,Urban,Non Referral Center,230,General Short Term,CA,Proprietary,Medium
144040,Not Critical Access,Non Teaching,Urban,Non Referral Center,147,Psychiatric,NA,Proprietary,Small
150037,Not Critical Access,Non Teaching,Urban,Non Referral Center,105,General Short Term,NA,Governmental,Small
150065,Not Critical Access,Non Teaching,Rural,Non Referral Center,60,General Short Term,NA,Governmental,Small
150072,Not Critical Access,Non Teaching,Rural,Non Referral Center,37,General Short Term,NA,Governmental,Small
150149,Not Critical Access,Non Teaching,Urban,Non Referral Center,74,General Short Term,IN,Proprietary,Small
151304,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
160045,Not Critical Access,Teaching,Urban,Non Referral Center,281,General Short Term,IA,Nonprofit,Medium
170017,Not Critical Access,Non Teaching,Urban,Non Referral Center,20,General Short Term,NA,Nonprofit,Small
171316,Critical Access,Non Teaching,Rural,Non Referral Center,12,General Short Term,MO,Nonprofit,Small
